METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,ON,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,0,20,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,1,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155934998357,0.00191859603334,-0.000639332230559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000281779648503,-0.000410865643062,0.000148517020352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0.01,0,1,-1.05069770316,0.35023256772,0.910604676071,15,-5,-13,0.766990393943,-0.255663464648,-0.664725008084,0,0,0,-0.766990393943,0.255663464648,0.664725008084,0,0,0,0.0301119035078,0.0312932080729,-0.0133731658431,0,0,0,0.00155934998357,0.00191859603334,-0.000639332230559,0,0,0,-8.05331476248E-8,-1.84169802315E-7,2.28632515586E-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.05331055176E-8,-1.84169820727E-7,2.28632515586E-7,0.000301160881087,0.000312891808549,-0.000133731658431,-8.05331055176E-8,-1.84169820727E-7,2.28632515586E-7,0,0,0,0,0,0,0,0,0,1,0,0,
0.02,0,1,-0.0700465135439,0.35023256772,0.0700465135439,1,-5,-1,0.0511326929295,-0.255663464648,-0.0511326929295,0,0,0,-0.0511326929295,0.255663464648,0.0511326929295,0,0,0,0.00903357105234,-0.0017385115596,-0.0222886097385,0,0,0,0.00155934998357,0.00191859603334,-0.000639332230559,0,0,0,-7.96408699301E-8,-5.05324462694E-7,2.81839902527E-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.9640855688E-8,-5.05324464939E-7,2.81839902527E-8,0.000391490385838,0.000295474478777,-0.000356617755816,-7.9640855688E-8,-5.05324464939E-7,2.81839902527E-8,0,0,0,0,0,0,0,0,0,1,0,0,
0.03,0.04,1,5.51448616088,-5.42636450138,-0.513757041421,-5,2,7,-0.255663464648,0.102265385859,0.357928850507,7.81624753691,-7.8161791819,0.0000409373752019,8.07191100155,-7.91844456776,-0.357887913131,0.0807191100155,-0.0791844456776,-0.00357887913131,-0.0105391662277,-0.0147773482566,0.0178308877908,0.460294674484,-2.29835591885E-7,9.52805406877E-6,0.0243243087426,-9.79534303876E-7,9.52805406877E-6,0.435970365741,7.49698711991E-7,0,4.54769514798E-7,1.00791591795E-7,-1.74173692358E-6,0.0016,2.78677907772E-9,0,0.439999999999,7.66364246373E-7,0,0.0374336462483,6.51995638549E-8,0,0.00159954523048,-9.80048127177E-8,1.74173692313E-6,0.0399886307621,-2.45012031794E-6,0.0000435434230783,4.5476969035E-7,1.00790799706E-7,-1.74173692358E-6,0.000286072376052,0.000147719791025,-0.000178308877908,4.5476969035E-7,1.00790799706E-7,-1.74173692358E-6,0.0016,0,0,0.44,0,0,0.0374336462484,0,0,1,1,0,
0.04,0.04,1,4.99236323792,-5.22318173891,0.490387048077,20,-12,-7,1.02265385859,-0.613592315154,-0.357928850507,7.81624753691,-7.8161791819,0.0000409373752019,6.79359367832,-7.20258686674,0.357969787882,0.148655046799,-0.151210314345,8.18747504037E-7,0.0481790456125,0.0191236271556,0.0044577219477,0.460294674484,-2.29835591885E-7,9.52805406877E-6,0.0243243087426,-9.79534303876E-7,9.52805406877E-6,0.435970365741,7.49698711991E-7,0,3.30480654628E-6,3.16946635673E-6,-3.95276083507E-6,0.0016,2.78677907772E-9,0,0.439999999999,7.66364246373E-7,0,0.0374336462483,6.51995638549E-8,0,0.00159954523048,-9.80048127177E-8,1.74173692313E-6,0.0399886307621,-2.45012031794E-6,0.0000435434230783,3.3048190744E-6,3.16945329359E-6,-3.95276083507E-6,0.000767888402173,0.000338891630219,-0.000133731658431,3.3048190744E-6,3.16945329359E-6,-3.95276083507E-6,0.0016,0,0,0.44,0,0,0.0374336462484,0,0,1,1,0,
0.05,0.04,1,5.31750707701,-5.64714453968,-1.10096973447,15,-4,15,0.766990393943,-0.204530771718,0.766990393943,7.81624753691,-7.8161791819,0.0000409373752019,7.04925714296,-7.61164841018,-0.766949456568,0.219147618228,-0.227326798447,-0.00766867581817,0.0286063083324,-0.0165158598162,0.11590077064,0.460294674484,-2.29835591885E-7,9.52805406877E-6,0.0243243087426,-9.79534303876E-7,9.52805406877E-6,0.435970365741,7.49698711991E-7,0,0.0000867150068379,7.88107836598E-6,-0.0000223537621977,0.0016,2.78677907772E-9,0,0.439999999999,7.66364246373E-7,0,0.0374336462483,6.51995638549E-8,0,0.00159954523048,-9.80048127177E-8,1.74173692313E-6,0.0399886307621,-2.45012031794E-6,0.0000435434230783,0.000086715182988,7.87913995737E-6,-0.0000223537621977,0.00105412065225,0.000174026421667,0.00102527604797,0.000086715182988,7.87913995737E-6,-0.0000223537621977,0.0016,0,0,0.44,0,0,0.0374336462484,0,0,1,1,0,
0.06,0.04,1,5.91360961123,-5.58271203314,0.683753238257,1,-13,-10,0.0511326929295,-0.664725008084,-0.511326929295,7.81624753691,-7.8161791819,0.0000409373752019,7.76511484398,-7.15145417381,0.51136786667,0.296798766668,-0.298841340185,-0.00255499715147,0.0210783324555,0.00695404623841,-0.0980698828494,0.460294674484,-2.29835591885E-7,9.52805406877E-6,0.0243243087426,-9.79534303876E-7,9.52805406877E-6,0.435970365741,7.49698711991E-7,0,0.000337568976478,0.0000137166167804,-2.7310079919E-6,0.0016,2.78677907772E-9,0,0.439999999999,7.66364246373E-7,0,0.0374336462483,6.51995638549E-8,0,0.00159954523048,-9.80048127177E-8,1.74173692313E-6,0.0399886307621,-2.45012031794E-6,0.0000435434230783,0.000337569013936,0.0000137156948767,-2.7310079919E-6,0.00126490086823,0.000243576277329,0.0000445772194761,0.000337569013936,0.0000137156948767,-2.7310079919E-6,0.0016,0,0,0.44,0,0,0.0374336462484,0,0,1,1,0,
0.07,0.08,1,5.97691165775,-6.13003325522,0.427623010703,26,-21,-6,1.32945001617,-1.07378655152,-0.306796157577,8.84980801059,-8.85147219129,0.00277072022546,7.52035799442,-7.77768563977,0.309566877803,0.372002346612,-0.376618196583,0.000540671626558,0.0707629732433,0.0147773482566,-0.0044577219477,0.521211783367,-0.000122495559599,0.0000964675482027,0.0460122597897,-0.000130967388351,0.0000964675482027,0.475199523578,8.47182875177E-6,0,0.000733597838209,0.0000132433828822,-0.0000180553922543,0.00479999999922,8.66658828159E-8,0,0.479999999922,8.66658828159E-6,0,0.0374336462423,6.75879166486E-7,0,0.00406640216101,-0.0000131567169994,0.0000180553922537,0.0616714232631,-0.000326467804667,0.000407841383265,0.000733598077204,0.0000132301374833,-0.0000180553922543,0.0019725306006,0.000391349759884,-8.881784197E-16,0.000733598077204,0.0000132301374833,-0.0000180553922543,0.0048,0,0,0.48,0,0,0.0374336462484,0,0,1,2,0,
0.08,0.08,1,6.17432989897,-6.09932022438,0.521341574767,26,-29,-7,1.32945001617,-1.48284809496,-0.357928850507,8.84980801059,-8.85147219129,0.00277072022546,7.52035799442,-7.36862409633,0.360699570732,0.447205926556,-0.450304437546,0.00414766733388,0.0828077346464,0.00956181357782,-0.044577219477,0.521211783367,-0.000122495559599,0.0000964675482027,0.0460122597897,-0.000130967388351,0.0000964675482027,0.475199523578,8.47182875177E-6,0,0.00128511817081,0.0000129947134516,0.0000271106874284,0.00479999999922,8.66658828159E-8,0,0.479999999922,8.66658828159E-6,0,0.0374336462423,6.75879166486E-7,0,0.00406640216101,-0.0000131567169994,0.0000180553922537,0.0616714232631,-0.000326467804667,0.000407841383265,0.00128511781804,0.0000130295538838,0.0000271106874284,0.00280065048184,0.000486598751529,-0.000445772194771,0.00128511781804,0.0000130295538838,0.0000271106874284,0.0048,0,0,0.48,0,0,0.0374336462484,0,0,1,2,0,
0.09,0.08,1,6.10750091165,-6.11659045331,-0.0422044410521,35,-35,1,1.78964425253,-1.78964425253,0.0511326929295,8.84980801059,-8.85147219129,0.00277072022546,7.06016375805,-7.06182793876,-0.0483619727041,0.517807564137,-0.520922716933,0.00366404760684,0.105391662277,-0.0017385115596,0.0044577219477,0.521211783367,-0.000122495559599,0.0000964675482027,0.0460122597897,-0.000130967388351,0.0000964675482027,0.475199523578,8.47182875177E-6,0,0.00199821447938,6.97807405106E-6,0.0000608406016771,0.00479999999922,8.66658828159E-8,0,0.479999999922,8.66658828159E-6,0,0.0374336462423,6.75879166486E-7,0,0.00406640216101,-0.0000131567169994,0.0000180553922537,0.0616714232631,-0.000326467804667,0.000407841383265,0.00199821405113,7.09964660928E-6,0.0000608406016771,0.00385456004488,0.000468790811291,-0.000401194975294,0.00199821405113,7.09964660928E-6,0.0000608406016771,0.0048,0,0,0.48,0,0,0.0374336462484,0,0,1,2,0,
