,Average,,,,,Maximum,,,,
,|e_x| (m),|e_y| (m),|e_th| (deg),|e_dist| (m),|e_traj| (m),|e_x| (m),|e_y| (m),|e_th| (deg),|e_dist| (m),|e_traj| (m)
sq_0.5_3_gt.csv,0.00700114855121747,0.00864348634728434,0.577187181049188,0.0128047556943288,0.00735612766907894,0.0616727399799999,0.08425336361,9.34430762457248,0.0953615536145729,0.0559400339376224
sq_0.5_4_gt.csv,0.00505873878875303,0.00527259724997762,0.397251013149445,0.00879182351844113,0.00573158870680082,0.04788855076,0.05534080029,7.0902055798697,0.0634309728631719,0.0374818400706673
sq_0.5_5_gt.csv,0.00413980757314603,0.00367115317858052,0.254218967621894,0.00690064338050299,0.00511852888382969,0.0362273788499998,0.0306545639,5.04727394484111,0.0440209614908098,0.026971446409928
sq_0.5_6_gt.csv,0.00406178321688041,0.003453079110661,0.226846260380671,0.00663775375675033,0.005087580678141,0.0342364311200001,0.0379853323101983,4.48903766492046,0.0460138012901203,0.0322016407331936
sq_0.5_7_gt.csv,0.00425909858491362,0.00371411239910977,0.201225302461836,0.00695297955477317,0.00528878256676268,0.04251694679,0.0477726645767983,3.91144880565617,0.0588366328251422,0.0407479277878121
sq_0.5_8_gt.csv,0.00459443503307815,0.00423416283626769,0.174170870922695,0.00757178070062137,0.00564632912669255,0.0496640205400001,0.0564438551663983,3.23593308709889,0.070298207980349,0.0506125331894045
sq_0.5_9_gt.csv,0.00511199225119626,0.00491711047641917,0.16879879429093,0.00846692357357343,0.0061218107554856,0.0562275648099999,0.0642621293663983,2.92533908044337,0.080870564641659,0.0562588204403268
sq_0.5_10_gt.csv,0.00568743994112618,0.00566409728959182,0.168896054213315,0.00946827490920886,0.00664391074008956,0.0617249012000001,0.0707533732056983,2.80555421692772,0.0898032373030744,0.0635552722286473
sq_0.5_11_gt.csv,0.00628648210281562,0.00644713183557527,0.168448370514238,0.01051686782115,0.00719119926887215,0.06623864174,0.0762023255228983,2.68767914486615,0.0972894550911727,0.0702520184624545
sq_0.5_12_gt.csv,0.00688004071623582,0.0072535640830988,0.161808443765504,0.0115739422456785,0.0077522194836022,0.07000660896,0.0806051418184983,2.47214135139816,0.103490051844837,0.0739540656639597
sq_0.5_13_gt.csv,0.00749797788172286,0.00806720711217554,0.162908770511067,0.0126622896047583,0.00832501786096443,0.0730673074699999,0.0842360854148983,2.45566844846185,0.108606227196375,0.0776386459093966
sq_0.5_14_gt.csv,0.00810130251909527,0.00888895150457295,0.159404263705141,0.0137387597815285,0.00890599308549761,0.0756332874300001,0.0872103944420983,2.31150442145521,0.112860665695077,0.0814279569607079
sq_0.5_15_gt.csv,0.00871248999092077,0.00971128459079435,0.160052635025908,0.0148249151649449,0.0094919608889448,0.0777848959,0.0895945280789983,2.28302828789862,0.116347095968915,0.0845622681322095
sq_0.5_16_gt.csv,0.00931547875339483,0.0105323354031923,0.158173724189209,0.0158996313407579,0.0100783492473792,0.0795971155199999,0.0915639027952983,2.18983405506597,0.119254170970446,0.0872170659311289
sq_0.5_17_gt.csv,0.00990876889561372,0.011350543084971,0.154468262799634,0.0169635195622971,0.0106604806360695,0.08112883568,0.0932004302739983,2.05863164265104,0.121702568939526,0.0894781199804751
sq_0.5_18_gt.csv,0.0105073800734907,0.012166792352168,0.153457852867581,0.0180291154079418,0.0112494935561207,0.08246946335,0.0945890471338983,1.98089417852216,0.123811871807955,0.091187305469388
sq_0.75_3_gt.csv,0.0238199755881972,0.035212064941253,2.41775269911579,0.0454361591999643,0.0241701550907328,0.11730820656,0.200552278757,28.8547216560166,0.221376191638422,0.112628606403451
sq_0.75_4_gt.csv,0.020053668710159,0.0282104452953327,1.90538605137436,0.0372598125388611,0.0198025274282889,0.0988602113700001,0.15108893871,22.430093275333,0.167880057711704,0.0889607302330312
sq_0.75_5_gt.csv,0.0149910062747045,0.0221971321216202,2.10798580396984,0.0296374472064235,0.0147477377562858,0.0864232254000001,0.12600274563,18.4579560660481,0.138379458457807,0.0754473520099378
sq_0.75_6_gt.csv,0.0118669636815943,0.0164117937415829,1.78877796984865,0.0230367102043237,0.0113481536557137,0.0712849617,0.0951828241300001,12.3229766942392,0.105202195149386,0.052565781678615
sq_0.75_7_gt.csv,0.00954110406220839,0.0111581955617336,1.22078722977203,0.0170565677234143,0.00969217304595233,0.05991838455,0.0662445306800001,9.74130260629771,0.0752141293488587,0.0424221528597508
sq_0.75_8_gt.csv,0.00876526402261328,0.00787312506727765,0.950552593610136,0.0137937628307098,0.00926001595780701,0.0572609710700001,0.0481479167900001,9.23593015872536,0.0615835460035027,0.0459016513010164
sq_0.75_9_gt.csv,0.00876731635260421,0.00722466981517726,0.829340261397488,0.0133004375025797,0.00936722574105701,0.0575467348100001,0.0596081018400001,9.0092235025756,0.0733084853426299,0.0561967819915511
sq_0.75_10_gt.csv,0.00926203069472666,0.00800450975807149,0.810819966963576,0.0142964266228597,0.00982917998856531,0.0655943155300001,0.0695198774300001,9.28949626276743,0.0864174978282226,0.0639309084065647
sq_0.75_11_gt.csv,0.0096040073848085,0.00883508383006196,0.727171249721493,0.0152149979720285,0.0103022188216358,0.07322835922,0.07891774178,8.67453019039252,0.0986501311000941,0.0717115408060853
sq_0.75_12_gt.csv,0.0104944004926477,0.0100229482939118,0.765637515565798,0.0167874068448302,0.0110708537154343,0.0804331302600001,0.0875685214999999,8.98307181162797,0.11016439868032,0.079935412857381
