METADATA,
,Tscript (s),wmax (bool),wmax (rad/s),L (m),wh D (m),ctrlMode,robpCtrlMode,FREQDIVPOSCTRL,feed-forward (bool),
General,0.01,OFF,0,0.195,0.102,cmRobP,pcmTXT,4,ON,
,ri (ohm),ki (Nm/A),vmax (V),imax (A),n:1 (gear),bv (dynamic),fc (static),kc (V / rad/s),ti (s),
Motor,0.6,0.3624,24,6,1,0.001316282616,0.80734166,0.547956859752217,0.208736119092,
Robot,(v):,(vn):,(w):,
kp,1.019649723,1.031417953,0.978734897,
tau (s),0.121202798,0.105652003,0.090826489,
kc,5.31321566904839,4.57866482846397,4.14804307364209,
td (s),0.0744844569896801,0.0473159100918112,0.0127519342197234,
,Filename,Nfuture,Npoly,Nudiv,
pcmTxt,0,13,2,0,
DATA,
time (s),time w/ T*4 (s),traj (bool),v_m1 (V),v_m2 (V),v_m3 (V),odo_m1 (tcks/cyc),odo_m2 (tcks/cyc),odo_m3 (tcks/cyc),w_m1 (rad/s),w_m2 (rad/s),w_m3 (rad/s),w_r_m1 (rad/s),w_r_m2 (rad/s),w_r_m3 (rad/s),w_e_m1 (rad/s),w_e_m2 (rad/s),w_e_m3 (rad/s),w_eint_m1 (rad/s),w_eint_m2 (rad/s),w_eint_m3 (rad/s),v_rob (m/s),vn_rob (m/s),w_rob (rad/s),v_r_rob (m/s),vn_r_rob (m/s),w_r_rob (rad/s),v_pd_r_rob (m/s),vn_pd_r_rob (m/s),w_pd_r_rob (rad/s),v_ff_r_rob (m/s),vn_ff_r_rob (m/s),w_ff_r_rob (rad/s),px_loc (m),py_loc (m),pth_loc (rad),px_r_loc (m),py_r_loc (m),pth_r_loc (rad),px_r_1deriv_loc,py_r_1deriv_loc,pth_r_1deriv_loc,px_r_2deriv_loc,py_r_2deriv_loc,pth_r_2deriv_loc,px_e_loc (m),py_e_loc (m),pth_e_loc (rad),px_e_1deriv_loc,py_e_1deriv_loc,pth_e_1deriv_loc,px_gt (m),py_gt (m),pth_gt (rad),px_odo (m),py_odo (m),pth_odo (rad),px (m),py (m),pth (rad),px_r (m),py_r (m),pth_r (rad),px_r_1deriv,py_r_1deriv,pth_r_1deriv,px_r_2deriv,py_r_2deriv,pth_r_2deriv,xvel,i_global,u_ref,
0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142483532889,0.00118973801095,0.000720108204103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000293392455205,-0.000203137358767,-0.000172892976576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
0.01,0,1,-0.770511648983,0.420279081264,0.700465135439,11,-6,-10,0.562459622225,-0.306796157577,-0.511326929295,0,0,0,-0.562459622225,0.306796157577,0.511326929295,0,0,0,0.0255951179816,0.021731394495,-0.0222886097385,0,0,0,0.00142483532889,0.00118973801095,0.000720108204103,0,0,0,-6.21268782048E-8,-1.17992084981E-7,-1.92828849777E-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.21269009571E-8,-1.17992073001E-7,-1.92828849777E-7,0.000255999609185,0.000217256891144,-0.000222886097385,-6.21269009571E-8,-1.17992073001E-7,-1.92828849777E-7,0,0,0,0,0,0,0,0,0,0.5,0,0,
0.02,0,1,0.280186054176,-0.0700465135439,0.840558162527,-4,1,-12,-0.204530771718,0.0511326929295,-0.613592315154,0,0,0,0.204530771718,-0.0511326929295,0.613592315154,0,0,0,-0.00752797587695,0.0182543713758,-0.0668658292155,0,0,0,0.00142483532889,0.00118973801095,0.000720108204103,0,0,0,1.5240808915E-7,-4.95851689289E-7,-6.83128048212E-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5240775042E-7,-4.95851793403E-7,-6.83128048212E-7,0.000180882627536,0.00039986764419,-0.00089154438954,1.5240775042E-7,-4.95851793403E-7,-6.83128048212E-7,0,0,0,0,0,0,0,0,0,0.5,0,0,
0.03,0.04,1,2.07554021916,-2.77990703535,0.293216930004,6,18,-4,0.306796157577,0.920388472731,-0.204530771718,2.38968275043,-2.38917342306,-0.000273142696432,2.08288659286,-3.3095618958,0.204257629022,0.0208288659286,-0.033095618958,0.00204257629022,-0.0180671421047,0.0278161849537,0.089154438954,0.140712768808,0.0000179454169505,0.0000205904586281,0.0121484562901,0.0000174675386502,0.0000205904586281,0.128564312518,4.77878300359E-7,0,1.12815857419E-6,-1.74465897646E-6,-3.76395450681E-6,0.000799999999994,3.01116360544E-9,0,0.129999999999,4.89314085884E-7,0,0.00899785867231,3.38675307014E-8,0,0.00079887184142,1.74767014006E-6,3.76395450719E-6,0.0199717960355,0.0000436917535015,0.0000940988626796,1.12815200737E-6,-1.74466322278E-6,-3.76395450681E-6,2.11212472603E-7,0.000678029484515,0,1.12815200737E-6,-1.74466322278E-6,-3.76395450681E-6,0.0008,0,0,0.13,0,0,0.00899785867238,0,0,0.5,0,0.5,
0.04,0.04,1,2.15957924484,-1.44485086577,-0.500802858072,5,-30,7,0.255663464648,-1.53398078789,0.357928850507,2.38968275043,-2.38917342306,-0.000273142696432,2.13401928579,-0.855192635179,-0.358201993203,0.0421690587864,-0.0416475453097,-0.00153944364181,0.0526958311386,-0.0339009754123,-0.0802389950586,0.140712768808,0.0000179454169505,0.0000205904586281,0.0121484562901,0.0000174675386502,0.0000205904586281,0.128564312518,4.77878300359E-7,0,4.6710181541E-6,-2.62730068213E-6,-9.26829397914E-6,0.000799999999994,3.01116360544E-9,0,0.129999999999,4.89314085884E-7,0,0.00899785867231,3.38675307014E-8,0,0.00079887184142,1.74767014006E-6,3.76395450719E-6,0.0199717960355,0.0000436917535015,0.0000940988626796,4.6709938033E-6,-2.62734397438E-6,-9.26829397914E-6,0.000526897322104,0.000338597022622,-0.000802389950586,4.6709938033E-6,-2.62734397438E-6,-9.26829397914E-6,0.0008,0,0,0.13,0,0,0.00899785867238,0,0,0.5,0,0.5,
0.05,0.04,1,2.36240377652,-2.47818549512,-0.377506480579,0,4,5,0,0.204530771718,0.255663464648,2.38968275043,-2.38917342306,-0.000273142696432,2.38968275043,-2.59370419478,-0.255936607344,0.0660658862908,-0.0675845872576,-0.00409880971525,-0.00602238070156,-0.00521553467881,0.0401194975293,0.140712768808,0.0000179454169505,0.0000205904586281,0.0121484562901,0.0000174675386502,0.0000205904586281,0.128564312518,4.77878300359E-7,0,0.0000269027028046,-8.65261418685E-6,-0.0000467244426205,0.000799999999994,3.01116360544E-9,0,0.129999999999,4.89314085884E-7,0,0.00899785867231,3.38675307014E-8,0,0.00079887184142,1.74767014006E-6,3.76395450719E-6,0.0199717960355,0.0000436917535015,0.0000940988626796,0.0000269022984867,-8.6538711912E-6,-0.0000467244426205,0.000466652595876,0.000286465841869,-0.000401194975293,0.0000269022984867,-8.6538711912E-6,-0.0000467244426205,0.0008,0,0,0.13,0,0,0.00899785867238,0,0,0.5,0,0.5,
0.06,0.04,1,2.1021669241,-1.92969641385,1.00033977738,11,-17,-14,0.562459622225,-0.869255779802,-0.715857701013,2.38968275043,-2.38917342306,-0.000273142696432,1.82722312821,-1.51991764326,0.715584558317,0.0843381175728,-0.0827837636902,0.00305703586791,0.0421566649109,0.0191236271556,-0.089154438954,0.140712768808,0.0000179454169505,0.0000205904586281,0.0121484562901,0.0000174675386502,0.0000205904586281,0.128564312518,4.77878300359E-7,0,0.0000849824295517,-0.0000110985031068,-0.000033548993075,0.000799999999994,3.01116360544E-9,0,0.129999999999,4.89314085884E-7,0,0.00899785867231,3.38675307014E-8,0,0.00079887184142,1.74767014006E-6,3.76395450719E-6,0.0199717960355,0.0000436917535015,0.0000940988626796,0.0000849820571602,-0.0000111013541755,-0.000033548993075,0.000888466097347,0.000477156971665,-0.00129273936483,0.0000849820571602,-0.0000111013541755,-0.000033548993075,0.0008,0,0,0.13,0,0,0.00899785867238,0,0,0.5,0,0.5,
0.07,0.08,1,2.73603059484,-2.99492522953,-0.496960776829,-2,11,7,-0.102265385859,0.562459622225,0.357928850507,2.74531426536,-2.74309863614,-0.00223453711403,2.84757965122,-3.30555825837,-0.360163387621,0.112813914085,-0.115839346274,-0.000544598008293,-0.0195727372801,-0.00434627889901,0.0713235511632,0.161605569972,0.000113639958639,-1.64838038891E-6,0.0134266784964,0.000113550895767,-1.64838038891E-6,0.148178891475,8.90628726981E-8,0,0.000197321300434,-0.0000123071231162,-6.08550217186E-7,0.0016,9.73680347498E-10,0,0.15,9.12825325779E-8,0,0.00899785867238,5.47564884929E-9,0,0.00140267869957,0.0000123080967965,6.08550217329E-7,0.0150951714536,0.000264010666412,-0.0000788851072464,0.000197321292944,-0.0000123072431961,-6.08550217186E-7,0.000692713574708,0.000433807615652,-0.000579503853201,0.000197321292944,-0.0000123072431961,-6.08550217186E-7,0.0016,0,0,0.15,0,0,0.00899785867238,0,0,0.5,1,0,
0.08,0.08,1,2.42909246821,-2.43576235139,-0.740804413513,11,-11,10,0.562459622225,-0.562459622225,0.511326929295,2.74531426536,-2.74309863614,-0.00223453711403,2.18285464314,-2.18063901392,-0.513561466409,0.134642460516,-0.137645736413,-0.00568021267239,0.0331230938586,-0.017385115596,0.044577219477,0.161605569972,0.000113639958639,-1.64838038891E-6,0.0134266784964,0.000113550895767,-1.64838038891E-6,0.148178891475,8.90628726981E-8,0,0.00036012374314,-0.0000128894615613,0.0000483655776194,0.0016,9.73680347498E-10,0,0.15,9.12825325779E-8,0,0.00899785867238,5.47564884929E-9,0,0.00140267869957,0.0000123080967965,6.08550217329E-7,0.0150951714536,0.000264010666412,-0.0000788851072464,0.000360124366125,-0.0000128720439534,0.0000483655776194,0.00102392125819,0.000259912166623,-0.000133731658431,0.000360124366125,-0.0000128720439534,0.0000483655776194,0.0016,0,0,0.15,0,0,0.00899785867238,0,0,0.5,1,0,
0.09,0.08,1,2.48639496961,-2.52236749308,-0.0404859266411,11,-10,0,0.562459622225,-0.511326929295,0,2.74531426536,-2.74309863614,-0.00223453711403,2.18285464314,-2.23177170685,-0.00223453711403,0.156471006948,-0.159963453482,-0.00570255804353,0.0316174986832,0.000869255779802,0.0044577219477,0.161605569972,0.000113639958639,-1.64838038891E-6,0.0134266784964,0.000113550895767,-1.64838038891E-6,0.148178891475,8.90628726981E-8,0,0.000600196554327,-0.0000151291862287,0.0000682369495145,0.0016,9.73680347498E-10,0,0.15,9.12825325779E-8,0,0.00899785867238,5.47564884929E-9,0,0.00140267869957,0.0000123080967965,6.08550217329E-7,0.0150951714536,0.000264010666412,-0.0000788851072464,0.0006001975853,-0.0000150882306116,0.0000682369495145,0.00134009701872,0.000268576535982,-0.0000891544389536,0.0006001975853,-0.0000150882306116,0.0000682369495145,0.0016,0,0,0.15,0,0,0.00899785867238,0,0,0.5,1,0,
