V,I,wmot
1.402737048,0.13,38.31196785
2.104105572,0.15,63.32794246
2.805474096,0.17,88.45092757
3.50684262,0.18,112.5019055
4.208211144,0.18,138.2746849
4.909579668,0.2,163.9653043
5.610948192,0.22,190.1798701
6.312316716,0.23,215.964001
7.013685239,0.25,242.006086
7.715053763,0.27,267.8302844
8.416422287,0.29,293.3519204
9.819159335,0.33,337.0142906
11.22189638,0.38,393.5411758
12.62463343,0.42,441.4014991
14.02737048,0.46,493.4826626
15.43010753,0.47,534.6638494
16.83284457,0.52,592.4097585
