V,I,wmot
1.412512219,0.13,39.33274002
2.115102639,0.14,62.58052566
2.815249267,0.15,86.58229353
3.519061584,0.15,107.9451236
4.2228739,0.16,131.9468915
4.926686217,0.17,155.9486593
5.630498534,0.18,180.3274183
6.33431085,0.19,202.3185669
7.038123167,0.2,226.5716622
7.741935484,0.2,250.5734301
8.445747801,0.19,275.3291802
9.149560117,0.19,296.6920102
9.819159335,0.19,321.4477603
10.52052786,0.2,344.9468734
11.22189638,0.19,369.4512961
11.92326491,0.19,392.9504091
12.62463343,0.2,415.1928851
13.32600196,0.2,438.9433256
14.02737048,0.21,462.5681023
14.728739,0.22,485.6902242
15.43010753,0.22,507.5557091
16.13147605,0.23,530.8034948
16.80351906,0.23,556.3132271
17.47311828,0.23,580.8176498
18.17204301,0.24,602.1804798
18.87096774,0.24,624.0459647
19.56989247,0.24,647.7964052
20.2688172,0.24,670.9185271
20.96774194,0.24,693.5379942
21.66666667,0.25,716.6601161
22.3655914,0.25,739.1539195
