V,I,wmot
1.407624633,0.86,15.33980788
2.815249267,1.76,49.08738521
4.215542522,2.56,81.60777792
5.610948192,3.49,113.5145783
7.013685239,4.28,145.4213787
8.416422287,5.14,176.7145868
