V,I,wmot
0.703812317,0.09,14.62067769
1.407624633,0.11,40.44248308
2.11143695,0.12,65.67278549
2.815249267,0.14,90.41896356
3.519061584,0.145,113.5513938
4.2228739,0.15,139.5554362
4.926686217,0.16,168.0199837
5.630498534,0.165,193.1220453
6.33431085,0.17,218.0707088
7.038123167,0.18,243.2341297
7.741935484,0.185,269.1154535
8.445747801,0.19,295.4692434
9.149560117,0.2,319.3625282
9.853372434,0.205,345.0413666
10.55718475,0.21,371.6528653
11.26099707,0.215,397.6446358
11.96480938,0.22,424.1456879
12.6686217,0.22,447.7505842
13.37243402,0.22,471.557966
14.07624633,0.23,497.7644938
15.48387097,0.24,544.4220535
16.8914956,0.25,598.6329345
18.29912023,0.26,645.9899894
19.67253177,0.27,700.1701908
