V,I,wmot
0.701368524,0.09,9.671442071
1.400293255,0.11,33.89790745
2.100439883,0.125,58.20966216
2.795698925,0.14,83.68785586
3.494623656,0.155,106.4828104
4.193548387,0.17,131.2289884
4.892473118,0.19,155.9260791
5.591397849,0.2,179.8807231
6.290322581,0.21,202.3934252
6.989247312,0.225,227.9740888
7.688172043,0.24,253.6897427
8.387096774,0.25,278.1966198
9.086021505,0.26,299.7643896
9.784946237,0.27,325.130296
10.48387097,0.28,351.6129403
11.1827957,0.28,376.5677397
11.88172043,0.28,403.7866948
13.97849462,0.31,474.6688791
15.37634409,0.34,522.823604
16.77419355,0.375,572.1134746
18.17204301,0.4,620.9554229
19.56989247,0.43,671.2086335
