Nfuture:,
16,

traj (bool),delta_time (ms),
0,0.152091,
0,0.151763,
0,0.135995,
0,0.128195,
0,0.150091,
0,0.029978,
0,0.059393,
0,0.142588,
0,0.150844,
0,0.149362,
0,0.130246,
0,0.145097,
0,0.051701,
0,0.156808,
0,0.148701,
0,0.128531,
0,0.155133,
0,0.128182,
0,0.141639,
0,0.148312,
0,0.169292,
0,0.13706,
0,0.132454,
0,0.146716,
0,0.148035,
0,0.143264,
0,0.130628,
0,0.143472,
0,0.154628,
0,0.177446,
0,0.140309,
0,0.126233,
0,0.138161,
0,0.150645,
0,0.128924,
0,0.14652,
0,0.157196,
0,0.125188,
0,0.155122,
0,0.129653,
0,0.167076,
0,0.154284,
0,0.143993,
0,0.141844,
0,0.137432,
0,0.152959,
0,0.145974,
0,0.141317,
0,0.137875,
0,0.182725,
0,0.153386,
0,0.147173,
0,0.16499,
0,0.161133,
0,0.143909,
0,0.150813,
0,0.160616,
0,0.207599,
0,0.142394,
0,0.128171,
0,0.169008,
0,0.158071,
0,0.158535,
0,0.163379,
0,0.128137,
0,0.167853,
0,0.170588,
0,0.162879,
0,0.151054,
0,0.152622,
0,0.176077,
0,0.138266,
0,0.169143,
0,0.189282,
0,0.07506,
0,0.160872,
0,0.134751,
0,0.138193,
0,0.161198,
0,0.175264,
0,0.157516,
0,0.149724,
0,0.15176,
0,0.164492,
0,0.130939,
0,0.150722,
0,0.162267,
0,0.144424,
0,0.127885,
0,0.15203,
0,0.149622,
0,0.151034,
0,0.176016,
0,0.172502,
0,0.147474,
0,0.148526,
0,0.152471,
0,0.150091,
0,0.148756,
0,0.156066,
0,0.142168,
0,0.153236,
0,0.168708,
0,0.148507,
0,0.145814,
0,0.133241,
0,0.143846,
0,0.142127,
0,0.150548,
0,0.156557,
0,0.154083,
0,0.145093,
0,0.158086,
0,0.163554,
0,0.152804,
0,0.148679,
0,0.150046,
0,0.143795,
0,0.145319,
0,0.153009,
0,0.177775,
0,0.148471,
0,0.147453,
0,0.144127,
0,0.148991,
0,0.148997,
0,0.151765,
0,0.144012,
0,0.154821,
0,0.15499,
0,0.145188,
0,0.145039,
0,0.167254,
0,0.146054,
0,0.15019,
0,0.145469,
0,0.149781,
0,0.133592,
0,0.144239,
0,0.135574,
0,0.184445,
0,0.146534,
0,0.180823,
0,0.147876,
0,0.166721,
0,0.146114,
0,0.147403,
0,0.146986,
0,0.161787,
0,0.162458,
0,0.144687,
0,0.140466,
0,0.036306,
0,0.030459,
0,0.055395,
0,0.048374,
0,0.033795,
0,0.026986,
0,0.027648,
0,0.082391,
0,0.169304,
0,0.144416,
1,0.412563,
1,0.317875,
1,0.385005,
1,0.24422,
1,0.077176,
1,0.164545,
1,0.373864,
1,0.318372,
1,0.328156,
1,0.359578,
1,0.322167,
1,0.338193,
1,0.316468,
1,0.336419,
1,0.342785,
1,0.314797,
1,0.328164,
1,0.36218,
1,0.348554,
1,0.347841,
1,0.31989,
1,0.344802,
1,0.342366,
1,0.349331,
1,0.334821,
1,0.313745,
1,0.316105,
1,0.345805,
1,0.343087,
1,0.342503,
1,0.324716,
1,0.341832,
1,0.340703,
1,0.328304,
1,0.320313,
1,0.339519,
1,0.330723,
1,0.324751,
1,0.113479,
1,0.137741,
1,0.34461,
1,0.336681,
1,0.361079,
1,0.335173,
1,0.344105,
1,0.376363,
1,0.341873,
1,0.354127,
1,0.341751,
1,0.34351,
1,0.341366,
1,0.313508,
1,0.313246,
1,0.349208,
1,0.417144,
1,0.31542,
1,0.351429,
1,0.336738,
1,0.337417,
1,0.315208,
1,0.36453,
1,0.313942,
1,0.343425,
1,0.342683,
1,0.316119,
1,0.313435,
1,0.344584,
1,0.348201,
1,0.322146,
1,0.3589,
1,0.389729,
1,0.313963,
1,0.338511,
1,0.315079,
1,0.40671,
1,0.343846,
1,0.356859,
1,0.351773,
1,0.365389,
1,0.367147,
1,0.318174,
1,0.312682,
1,0.361875,
1,0.341041,
1,0.338946,
1,0.314586,
1,0.354138,
1,0.346697,
1,0.315934,
1,0.31391,
1,0.386866,
1,0.332087,
1,0.360821,
1,0.361213,
1,0.422167,
1,0.317966,
1,0.356405,
1,0.315786,
1,0.350722,
1,0.424529,
1,0.352018,
1,0.316322,
1,0.399213,
1,0.354289,
1,0.357884,
1,0.349463,
1,0.351347,
1,0.346845,
1,0.313175,
1,0.313426,
1,0.341042,
1,0.311645,
1,0.314735,
1,0.364917,
1,0.350784,
1,0.313537,
1,0.315497,
1,0.359426,
1,0.336846,
1,0.315182,
1,0.34358,
1,0.3134,
1,0.361428,
1,0.356891,
1,0.313056,
1,0.315101,
1,0.339334,
1,0.347942,
1,0.314213,
1,0.346263,
1,0.338666,
1,0.367458,
1,0.343208,
1,0.313636,
1,0.34385,
1,0.321925,
1,0.354246,
1,0.34363,
1,0.344805,
1,0.359482,
1,0.360691,
1,0.313845,
1,0.338045,
1,0.341355,
1,0.328482,
1,0.314245,
1,0.370704,
1,0.352037,
1,0.354717,
1,0.313104,
1,0.329451,
1,0.348989,
1,0.34886,
1,0.357158,
1,0.351052,
1,0.343631,
1,0.313977,
1,0.314042,
1,0.358817,
1,0.344604,
1,0.370122,
1,0.315257,
1,0.367612,
1,0.352445,
1,0.344913,
1,0.346005,
1,0.324215,
1,0.358437,
1,0.34282,
1,0.353849,
1,0.316506,
1,0.322496,
1,0.074,
1,0.229737,
1,0.38274,
1,0.312526,
1,0.347159,
1,0.342802,
1,0.404588,
1,0.352498,
1,0.349366,
1,0.349579,
1,0.360084,
1,0.340462,
1,0.314713,
1,0.370653,
1,0.345019,
1,0.363066,
1,0.323906,
1,0.347153,
1,0.373806,
1,0.320139,
1,0.348896,
1,0.314184,
1,0.365673,
1,0.315258,
1,0.333219,
1,0.348494,
1,0.357903,
1,0.353421,
1,0.314474,
1,0.313194,
1,0.349715,
1,0.37002,
1,0.314974,
1,0.348489,
1,0.320134,
1,0.344488,
1,0.347423,
1,0.3161,
1,0.412457,
1,0.312815,
1,0.317033,
1,0.312906,
1,0.32163,
1,0.313513,
1,0.316056,
1,0.314826,
1,0.349776,
1,0.35023,
1,0.341582,
1,0.311799,
1,0.33697,
1,0.353525,
1,0.3179,
1,0.335317,
1,0.342443,
1,0.315607,
1,0.311616,
1,0.353289,
1,0.431707,
1,0.322599,
1,0.348215,
1,0.314778,
1,0.358501,
1,0.390721,
1,0.353334,
1,0.345505,
1,0.357148,
1,0.350778,
1,0.336198,
1,0.316304,
1,0.351219,
1,0.341338,
1,0.315492,
1,0.34963,
1,0.353457,
1,0.311798,
1,0.314659,
1,0.356125,
1,0.417729,
1,0.316867,
1,0.347506,
1,0.345267,
1,0.322579,
1,0.423478,
1,0.354172,
1,0.312963,
1,0.324185,
1,0.350727,
1,0.315971,
1,0.346769,
1,0.353909,
1,0.345309,
1,0.310892,
1,0.35315,
1,0.353073,
1,0.340226,
1,0.343691,
1,0.313195,
1,0.360808,
1,0.339605,
1,0.328153,
1,0.311869,
1,0.331326,
1,0.316485,
1,0.355615,
1,0.338047,
1,0.336601,
1,0.361961,
1,0.35121,
1,0.314917,
1,0.349276,
1,0.351838,
1,0.347867,
1,0.363001,
1,0.327525,
1,0.315179,
1,0.344202,
1,0.314552,
1,0.3463,
1,0.314082,
1,0.338145,
1,0.348137,
1,0.347491,
1,0.314091,
1,0.343986,
1,0.346471,
1,0.354497,
1,0.325286,
1,0.350397,
1,0.338531,
1,0.352258,
1,0.330036,
1,0.315967,
1,0.349216,
1,0.336651,
1,0.313649,
1,0.312464,
1,0.348518,
1,0.323514,
1,0.347807,
1,0.352847,
1,0.316083,
1,0.324948,
1,0.369175,
1,0.344738,
1,0.351774,
1,0.345247,
1,0.315801,
1,0.337147,
1,0.313795,
1,0.347678,
1,0.348792,
1,0.313702,
1,0.334138,
1,0.354843,
1,0.321653,
1,0.326869,
