Nfuture:,
19,

traj (bool),delta_time (ms),
0,0.157796,
0,0.150822,
0,0.16119,
0,0.037652,
0,0.034154,
0,0.162392,
0,0.158202,
0,0.151062,
0,0.14615,
0,0.150684,
0,0.161463,
0,0.145875,
0,0.134432,
0,0.112577,
0,0.143653,
0,0.147149,
0,0.153169,
0,0.149496,
0,0.13006,
0,0.133554,
0,0.147628,
0,0.155843,
0,0.132111,
0,0.143011,
0,0.135921,
0,0.141387,
0,0.177405,
0,0.142159,
0,0.144072,
0,0.148809,
0,0.140851,
0,0.141679,
0,0.142409,
0,0.143284,
0,0.175579,
0,0.198348,
0,0.135119,
0,0.146932,
0,0.1644,
0,0.143709,
0,0.137101,
0,0.142529,
0,0.132366,
0,0.133701,
0,0.133597,
0,0.136887,
0,0.1556,
0,0.146892,
0,0.136209,
0,0.153284,
0,0.165144,
0,0.147579,
0,0.143994,
0,0.025926,
0,0.125674,
0,0.04752,
0,0.047274,
0,0.025072,
0,0.027524,
0,0.027714,
0,0.044404,
0,0.132851,
0,0.145348,
1,0.357798,
1,0.382468,
1,0.345823,
1,0.245014,
1,0.095382,
1,0.18091,
1,0.374159,
1,0.387656,
1,0.354975,
1,0.342238,
1,0.345964,
1,0.348673,
1,0.389136,
1,0.382069,
1,0.357167,
1,0.37721,
1,0.366789,
1,0.341144,
1,0.393653,
1,0.437918,
1,0.37063,
1,0.341329,
1,0.339683,
1,0.440352,
1,0.339865,
1,0.338155,
1,0.339747,
1,0.382363,
1,0.361627,
1,0.094317,
1,0.340599,
1,0.36891,
1,0.365273,
1,0.375135,
1,0.343735,
1,0.34176,
1,0.361667,
1,0.349096,
1,0.350411,
1,0.382198,
1,0.351017,
1,0.339905,
1,0.366746,
1,0.367013,
1,0.340589,
1,0.34767,
1,0.339406,
1,0.400573,
1,0.343103,
1,0.346202,
1,0.344648,
1,0.36211,
1,0.368914,
1,0.339226,
1,0.338331,
1,0.386335,
1,0.362276,
1,0.353621,
1,0.341102,
1,0.35626,
1,0.340548,
1,0.341781,
1,0.341785,
1,0.344718,
1,0.373776,
1,0.36117,
1,0.339337,
1,0.387724,
1,0.413147,
1,0.376862,
1,0.340755,
1,0.372303,
1,0.36884,
1,0.342651,
1,0.347863,
1,0.370054,
1,0.374846,
1,0.381635,
1,0.341513,
1,0.365985,
1,0.340055,
1,0.356943,
1,0.347178,
1,0.38669,
1,0.352759,
1,0.384759,
1,0.379903,
1,0.381708,
1,0.367497,
1,0.379971,
1,0.346863,
1,0.381098,
1,0.378406,
1,0.348297,
1,0.364744,
1,0.404454,
1,0.385723,
1,0.346787,
1,0.351135,
1,0.387829,
1,0.340596,
1,0.351276,
1,0.354439,
1,0.386706,
1,0.364624,
1,0.375045,
1,0.382358,
1,0.396542,
1,0.377151,
1,0.33977,
1,0.340612,
1,0.373287,
1,0.398747,
1,0.348607,
1,0.341656,
1,0.378627,
1,0.341208,
1,0.340896,
1,0.340445,
1,0.471717,
1,0.341286,
1,0.339792,
1,0.338267,
1,0.390971,
1,0.408795,
1,0.342226,
1,0.340656,
1,0.375092,
1,0.448068,
1,0.375101,
1,0.340718,
1,0.392783,
1,0.391193,
1,0.340383,
1,0.368633,
1,0.371973,
1,0.342063,
1,0.340787,
1,0.377625,
1,0.468683,
1,0.341176,
1,0.343874,
1,0.375109,
1,0.371983,
1,0.440123,
1,0.367572,
1,0.341342,
1,0.38859,
1,0.344034,
1,0.343065,
1,0.342974,
1,0.348552,
1,0.372083,
1,0.340312,
1,0.340871,
1,0.467625,
1,0.377125,
1,0.361767,
1,0.352285,
1,0.36344,
1,0.339227,
1,0.342465,
1,0.338599,
1,0.365366,
1,0.340793,
1,0.338582,
1,0.366133,
1,0.374126,
1,0.361652,
1,0.34017,
1,0.364621,
1,0.3661,
1,0.378476,
1,0.345042,
1,0.341175,
1,0.370498,
1,0.339439,
1,0.340012,
1,0.347654,
1,0.376084,
1,0.353755,
1,0.342506,
1,0.338547,
1,0.3655,
1,0.365946,
1,0.36853,
1,0.345235,
1,0.361324,
1,0.367784,
1,0.364417,
1,0.349001,
1,0.384542,
1,0.361926,
1,0.363409,
1,0.343668,
1,0.389045,
1,0.339008,
1,0.391812,
1,0.449186,
1,0.377147,
1,0.380592,
1,0.341501,
1,0.395024,
1,0.41758,
1,0.375437,
1,0.373783,
1,0.392067,
1,0.403718,
1,0.375093,
1,0.388821,
1,0.362328,
1,0.388323,
1,0.355667,
1,0.358405,
1,0.364487,
1,0.388619,
1,0.372475,
1,0.341096,
1,0.355013,
1,0.360226,
1,0.339793,
1,0.346329,
1,0.340065,
1,0.38857,
1,0.365531,
1,0.339747,
1,0.339193,
1,0.37389,
1,0.372665,
1,0.354307,
1,0.371721,
1,0.373297,
1,0.361539,
1,0.34582,
1,0.35116,
1,0.44174,
1,0.37838,
1,0.346599,
1,0.349619,
1,0.379688,
1,0.35913,
1,0.369939,
1,0.340557,
1,0.375448,
1,0.455335,
1,0.357243,
1,0.341102,
1,0.364058,
1,0.396658,
1,0.340475,
1,0.34626,
1,0.369138,
1,0.338229,
1,0.373018,
1,0.366976,
1,0.358778,
1,0.338152,
1,0.359598,
1,0.339204,
1,0.372341,
1,0.377994,
1,0.341071,
1,0.340349,
1,0.369465,
1,0.382654,
1,0.350492,
1,0.362801,
1,0.370779,
1,0.340502,
1,0.362179,
1,0.351604,
1,0.376866,
1,0.241772,
1,0.36388,
1,0.352216,
1,0.365692,
1,0.338848,
1,0.373386,
1,0.340299,
1,0.378738,
1,0.380081,
1,0.349155,
1,0.339397,
1,0.369682,
1,0.418239,
1,0.361022,
1,0.367885,
1,0.374421,
1,0.365548,
1,0.364891,
1,0.364455,
1,0.382269,
1,0.367645,
1,0.366653,
1,0.343666,
1,0.37606,
1,0.372557,
1,0.370494,
1,0.339279,
1,0.373343,
1,0.350802,
1,0.36939,
1,0.340741,
1,0.363797,
1,0.372431,
1,0.356528,
1,0.339868,
1,0.382343,
1,0.367644,
1,0.111245,
1,0.372936,
1,0.366326,
1,0.363644,
1,0.36788,
1,0.34268,
1,0.343022,
1,0.368836,
1,0.36559,
1,0.339402,
1,0.383351,
1,0.373114,
1,0.341109,
1,0.343899,
1,0.369009,
1,0.399105,
1,0.372301,
1,0.368873,
1,0.369254,
1,0.365851,
1,0.366186,
1,0.36753,
1,0.36665,
1,0.352726,
1,0.358191,
1,0.370635,
1,0.36561,
1,0.344025,
1,0.375304,
1,0.368119,
1,0.440819,
1,0.342479,
1,0.339986,
1,0.368619,
1,0.348573,
1,0.372607,
1,0.340248,
1,0.340193,
1,0.392909,
1,0.370877,
1,0.372427,
1,0.346426,
1,0.342689,
1,0.33927,
1,0.340739,
1,0.361687,
1,0.369135,
1,0.337468,
0,0.128201,
0,0.03784,
0,0.146639,
0,0.139691,
0,0.12604,
0,0.133167,
0,0.13059,
0,0.159326,
0,0.143352,
0,0.154082,
0,0.155696,
0,0.135886,
0,0.132679,
0,0.144492,
0,0.132812,
0,0.134637,
0,0.13853,
0,0.157156,
0,0.137085,
0,0.110283,
0,0.138432,
0,0.111196,
0,0.152751,
0,0.136762,
0,0.138124,
0,0.136829,
0,0.133846,
0,0.137837,
0,0.125636,
0,0.126352,
0,0.155683,
0,0.147684,
0,0.129017,
0,0.140588,
0,0.148196,
0,0.123988,
0,0.136307,
0,0.156485,
0,0.151979,
0,0.15646,
0,0.126242,
0,0.160927,
0,0.188428,
0,0.16587,
0,0.159837,
0,0.150565,
0,0.139125,
0,0.150944,
0,0.132929,
0,0.159688,
0,0.167551,
0,0.128649,
0,0.155334,
0,0.1435,
0,0.134329,
0,0.153441,
0,0.164052,
0,0.15252,
0,0.147702,
0,0.156718,
0,0.148674,
0,0.133883,
0,0.164008,
0,0.158321,
0,0.166655,
0,0.165082,
0,0.131346,
0,0.145581,
0,0.13692,
0,0.136657,
0,0.130409,
0,0.109971,
0,0.13959,
0,0.136944,
0,0.129605,
0,0.136909,
0,0.141021,
0,0.177162,
0,0.141656,
0,0.142613,
0,0.149284,
0,0.132091,
0,0.200224,
0,0.136847,
0,0.133313,
0,0.1358,
0,0.140473,
0,0.176006,
0,0.134684,
0,0.137003,
0,0.140717,
