Nfuture:,
14,

traj (bool),delta_time (ms),
0,0.163626,
0,0.165474,
0,0.168693,
0,0.148141,
0,0.032234,
0,0.056309,
0,0.140688,
0,0.149891,
0,0.160816,
0,0.146629,
0,0.111234,
0,0.133091,
0,0.141088,
0,0.144739,
0,0.125975,
0,0.11116,
0,0.127824,
0,0.149604,
0,0.11025,
0,0.151409,
0,0.134662,
0,0.139445,
0,0.13111,
0,0.140524,
0,0.132388,
0,0.131881,
0,0.153428,
0,0.150988,
0,0.14185,
0,0.201543,
0,0.148203,
0,0.150489,
0,0.160795,
0,0.179065,
0,0.134614,
0,0.134347,
0,0.134144,
0,0.130247,
0,0.153765,
0,0.142122,
0,0.133849,
0,0.147947,
0,0.027447,
0,0.030222,
0,0.047752,
0,0.053399,
0,0.054903,
0,0.026774,
0,0.025285,
0,0.036835,
0,0.126063,
0,0.112673,
1,0.345218,
1,0.307189,
1,0.2892,
1,0.307179,
1,0.130945,
1,0.099626,
1,0.311665,
1,0.287472,
1,0.311631,
1,0.310666,
1,0.31025,
1,0.288162,
1,0.31217,
1,0.333584,
1,0.286099,
1,0.288778,
1,0.288942,
1,0.334664,
1,0.289879,
1,0.298883,
1,0.313057,
1,0.321833,
1,0.287461,
1,0.287828,
1,0.289703,
1,0.321375,
1,0.33746,
1,0.287238,
1,0.287167,
1,0.311772,
1,0.331117,
1,0.290429,
1,0.294324,
1,0.340221,
1,0.32733,
1,0.332571,
1,0.287898,
1,0.353844,
1,0.288638,
1,0.2875,
1,0.318298,
1,0.328851,
1,0.288108,
1,0.325642,
1,0.291369,
1,0.330934,
1,0.321784,
1,0.301855,
1,0.288758,
1,0.336334,
1,0.298511,
1,0.291821,
1,0.287417,
1,0.325321,
1,0.297693,
1,0.332477,
1,0.289871,
1,0.295681,
1,0.316938,
1,0.315994,
1,0.290851,
1,0.326615,
1,0.329961,
1,0.315218,
1,0.319019,
1,0.366609,
1,0.333458,
1,0.311753,
1,0.325946,
1,0.318995,
1,0.317158,
1,0.290967,
1,0.313128,
1,0.325616,
1,0.294512,
1,0.322151,
