Nfuture:,
4,

traj (bool),delta_time (ms),
0,0.152592,
0,0.159036,
0,0.148034,
0,0.068944,
0,0.035359,
0,0.052691,
0,0.155702,
0,0.138772,
0,0.14787,
0,0.141807,
0,0.137386,
0,0.141366,
0,0.154349,
0,0.152876,
0,0.155155,
0,0.157524,
0,0.149014,
0,0.159474,
0,0.14302,
0,0.154179,
0,0.129614,
0,0.170287,
0,0.139951,
0,0.129476,
0,0.132118,
0,0.149069,
0,0.13943,
0,0.148377,
0,0.140595,
0,0.148726,
0,0.135882,
0,0.13754,
0,0.155039,
0,0.136197,
0,0.137542,
0,0.130927,
0,0.155092,
0,0.138995,
0,0.134369,
0,0.138606,
0,0.123432,
0,0.150598,
0,0.144321,
0,0.125527,
0,0.129193,
0,0.135668,
0,0.160562,
0,0.146149,
0,0.133579,
0,0.144861,
0,0.110435,
0,0.127195,
0,0.13422,
0,0.141538,
0,0.128022,
0,0.131375,
0,0.159763,
0,0.143278,
0,0.132625,
0,0.111508,
0,0.144281,
0,0.111571,
0,0.11622,
0,0.134034,
0,0.135611,
0,0.125717,
0,0.183396,
0,0.110764,
0,0.142945,
0,0.140361,
0,0.146047,
0,0.146434,
0,0.129669,
0,0.136298,
0,0.131131,
0,0.136443,
0,0.135807,
0,0.14684,
0,0.129709,
0,0.146772,
0,0.133556,
0,0.15024,
0,0.128401,
0,0.130753,
0,0.128146,
0,0.12961,
0,0.154466,
0,0.135464,
0,0.140458,
0,0.142138,
0,0.145515,
0,0.130232,
0,0.147099,
0,0.15438,
0,0.135108,
0,0.134314,
0,0.143959,
0,0.146274,
0,0.128099,
0,0.132695,
0,0.150976,
0,0.144667,
0,0.127199,
0,0.130143,
0,0.138883,
0,0.138144,
0,0.135477,
0,0.150476,
0,0.135715,
0,0.139946,
0,0.135259,
0,0.143471,
0,0.145093,
0,0.135031,
0,0.146767,
0,0.141396,
0,0.133457,
0,0.138598,
0,0.149735,
0,0.138554,
0,0.135257,
0,0.147639,
0,0.11249,
0,0.150412,
0,0.13811,
0,0.145085,
0,0.159497,
0,0.156482,
0,0.169528,
0,0.158251,
0,0.153914,
0,0.161462,
0,0.169718,
0,0.141156,
0,0.150147,
0,0.116784,
0,0.129022,
0,0.142026,
0,0.131315,
0,0.111798,
0,0.148792,
0,0.162794,
0,0.165169,
0,0.153741,
0,0.180164,
0,0.156479,
0,0.144064,
0,0.139494,
0,0.157911,
0,0.114372,
0,0.13031,
0,0.155591,
0,0.158393,
0,0.1328,
0,0.14309,
0,0.155283,
0,0.167212,
0,0.145335,
0,0.13522,
0,0.135172,
0,0.165683,
0,0.150405,
0,0.165638,
0,0.15342,
0,0.176288,
0,0.139607,
0,0.133724,
0,0.158243,
0,0.158504,
0,0.128577,
0,0.139121,
0,0.14282,
0,0.163905,
0,0.165851,
0,0.129914,
0,0.132956,
0,0.144736,
0,0.168368,
0,0.148662,
0,0.154505,
0,0.156929,
0,0.154678,
0,0.157762,
0,0.13148,
0,0.155264,
0,0.142508,
0,0.129496,
0,0.160352,
0,0.171798,
0,0.137737,
0,0.143086,
0,0.16068,
0,0.157871,
0,0.152941,
0,0.130829,
0,0.151536,
0,0.155966,
0,0.156176,
0,0.156996,
0,0.113234,
0,0.151676,
0,0.140498,
0,0.149074,
0,0.154173,
0,0.151797,
0,0.131099,
0,0.141318,
0,0.12778,
0,0.135569,
0,0.139634,
0,0.127429,
0,0.137887,
0,0.149485,
0,0.144449,
0,0.127516,
0,0.137603,
0,0.1361,
0,0.178189,
0,0.127802,
0,0.136496,
0,0.151345,
0,0.145373,
0,0.06509,
0,0.136866,
0,0.150011,
0,0.126698,
0,0.139655,
0,0.164553,
0,0.146655,
0,0.140822,
0,0.152459,
0,0.151797,
0,0.153318,
0,0.158232,
0,0.144132,
0,0.126879,
0,0.134142,
0,0.141792,
0,0.150629,
0,0.162401,
0,0.155814,
0,0.031715,
0,0.028963,
0,0.047772,
0,0.047607,
0,0.047656,
0,0.094259,
0,0.04408,
0,0.034222,
0,0.134817,
0,0.151632,
1,0.211473,
1,0.270979,
1,0.23499,
1,0.226535,
1,0.055978,
1,0.078652,
1,0.230568,
1,0.233428,
1,0.23666,
1,0.234527,
1,0.201481,
1,0.22995,
1,0.237066,
1,0.252637,
1,0.241044,
1,0.238018,
1,0.049972,
1,0.157536,
1,0.245407,
1,0.240486,
1,0.302489,
1,0.242363,
1,0.206092,
1,0.255353,
1,0.229213,
1,0.230138,
1,0.244322,
1,0.228788,
1,0.229618,
1,0.250326,
1,0.217489,
1,0.201312,
1,0.225588,
1,0.234102,
1,0.233689,
1,0.200723,
1,0.234032,
1,0.24068,
1,0.220233,
1,0.231826,
1,0.246278,
1,0.237517,
1,0.239382,
1,0.238777,
1,0.202191,
1,0.228038,
1,0.203481,
1,0.235705,
1,0.237172,
1,0.239201,
1,0.22933,
1,0.203047,
1,0.211637,
1,0.288033,
1,0.234766,
1,0.230345,
1,0.236859,
1,0.251789,
1,0.224489,
1,0.226694,
1,0.20259,
1,0.237801,
1,0.201808,
1,0.243393,
1,0.228018,
1,0.252901,
1,0.226449,
1,0.228095,
1,0.237187,
1,0.23506,
1,0.21705,
1,0.231362,
1,0.220068,
1,0.298935,
1,0.235261,
