Nfuture:,
10,

traj (bool),delta_time (ms),
0,0.172108,
0,0.139533,
0,0.128903,
0,0.14444,
0,0.033996,
0,0.10773,
0,0.147648,
0,0.157448,
0,0.160994,
0,0.148387,
0,0.165661,
0,0.148117,
0,0.164803,
0,0.154372,
0,0.140129,
0,0.15678,
0,0.148931,
0,0.131843,
0,0.133596,
0,0.162795,
0,0.136848,
0,0.142081,
0,0.134294,
0,0.135281,
0,0.174834,
0,0.140341,
0,0.125596,
0,0.162852,
0,0.15137,
0,0.13129,
0,0.155859,
0,0.138411,
0,0.164233,
0,0.179545,
0,0.143752,
0,0.147096,
0,0.162779,
0,0.179967,
0,0.151528,
0,0.157674,
0,0.158391,
0,0.130035,
0,0.135398,
0,0.1672,
0,0.143034,
0,0.152426,
0,0.161837,
0,0.15153,
0,0.16103,
0,0.167008,
0,0.166522,
0,0.125972,
0,0.161176,
0,0.168678,
0,0.169618,
0,0.130873,
0,0.162894,
0,0.135503,
0,0.15469,
0,0.149195,
0,0.171245,
0,0.166087,
0,0.135088,
0,0.14679,
0,0.159158,
0,0.145334,
0,0.143116,
0,0.160115,
0,0.147579,
0,0.146363,
0,0.135,
0,0.164156,
0,0.16752,
0,0.164625,
0,0.144995,
0,0.161673,
0,0.179217,
0,0.128252,
0,0.164246,
0,0.128759,
0,0.156673,
0,0.138322,
0,0.128772,
0,0.167491,
0,0.15734,
0,0.15877,
0,0.132718,
0,0.026098,
0,0.056733,
0,0.133163,
0,0.156067,
0,0.130218,
0,0.138654,
0,0.13008,
0,0.158807,
0,0.164446,
0,0.145046,
0,0.152194,
0,0.144099,
0,0.140783,
0,0.133945,
0,0.211368,
0,0.147388,
0,0.13834,
0,0.137572,
0,0.167088,
0,0.133619,
0,0.14457,
0,0.129238,
0,0.151336,
0,0.132838,
0,0.144399,
0,0.142138,
0,0.143187,
0,0.131976,
0,0.129837,
0,0.150738,
0,0.146997,
0,0.144807,
0,0.111054,
0,0.113117,
0,0.137793,
0,0.143634,
0,0.127393,
0,0.143925,
0,0.159886,
0,0.144909,
0,0.137295,
0,0.132471,
0,0.139088,
0,0.181386,
0,0.151243,
0,0.146232,
0,0.151277,
0,0.170699,
0,0.148673,
0,0.150855,
0,0.15302,
0,0.147258,
0,0.147697,
0,0.150313,
0,0.180192,
0,0.141815,
0,0.144121,
0,0.131042,
0,0.182777,
0,0.142988,
0,0.143205,
0,0.146989,
0,0.143468,
0,0.183055,
0,0.14042,
0,0.136443,
0,0.133611,
0,0.132645,
0,0.12817,
0,0.15136,
0,0.141542,
0,0.126942,
0,0.136139,
0,0.151514,
0,0.158196,
0,0.136985,
0,0.140351,
0,0.128602,
0,0.131684,
0,0.140905,
