,Average,,,,,Maximum,,,,
,|e_x| (m),|e_y| (m),|e_th| (deg),|e_dist| (m),|e_traj| (m),|e_x| (m),|e_y| (m),|e_th| (deg),|e_dist| (m),|e_traj| (m)
sq_0.5_3.csv,0.0113209481040409,0.012281314184653,0.331168217846757,0.0189221116605198,0.0105089287862724,0.0968499999999999,0.0899399999999999,1.89124773805758,0.124863680067504,0.0864658536348887
sq_0.5_4.csv,0.0104153641445511,0.010700262980204,0.321698627170179,0.0171178647768379,0.00921049630417886,0.0750442,0.0974999999999999,2.00944893119307,0.121480915594343,0.0751772096691544
sq_0.5_5.csv,0.00919611612191847,0.00908688726918361,0.273591084227875,0.0149703807157663,0.00804404479717855,0.06734,0.0837899999999998,1.55423969253958,0.104063426602481,0.0635267272011553
sq_0.5_6.csv,0.00876235631530602,0.00841321454095913,0.287839158537714,0.0139322191156243,0.00760643365566136,0.0621,0.07439,1.37567739568706,0.0919648537584331,0.054629112131262
sq_0.5_7.csv,0.00772113984293867,0.00794744347081633,0.300003220416669,0.0128876933844366,0.00675528723872323,0.0544500000000001,0.0602,1.55423969253958,0.0685503129492492,0.0424893283561885
sq_0.5_8.csv,0.00710248747285704,0.00718817687448974,0.319594221487571,0.0116362723449445,0.00613797002081747,0.0502199999999999,0.056422,1.64477848332615,0.0642956529168185,0.0375720239445522
sq_0.5_9.csv,0.00751436314346928,0.007314494383353,0.303744897514175,0.0120704070229243,0.00657907039855327,0.04049719999995,0.05721,1.37819268040768,0.0661736525152572,0.0385537564660048
sq_0.5_10.csv,0.00729420321902031,0.00770868064438776,0.276829762448776,0.0120878122793644,0.0064764216726265,0.0467599999999999,0.0508360999999983,1.09652089874342,0.0690710262209113,0.047649498037335
sq_0.5_11.csv,0.0080593788709795,0.00825805447893876,0.31400488937411,0.0131397186924927,0.00726499165998367,0.0649299999999999,0.0574699999999999,1.19460554369186,0.0841234412729877,0.053713623705816
sq_0.5_12.csv,0.00887695536346928,0.00932094992208774,0.309385624947459,0.014414022837287,0.00848088285116303,0.0617099999999999,0.0784199999999999,1.30023031322423,0.0943713219150818,0.0626120536862512
sq_0.5_13.csv,0.00980230144203256,0.0105197009026939,0.256884588370404,0.016094218383613,0.00933015716531251,0.0816600000000001,0.07386,1.03364451030576,0.108191734232564,0.0722251177240301
sq_0.5_14.csv,0.0100819982911223,0.0117737348316326,0.260446671882106,0.0171006698484517,0.00963422680282339,0.0828100000000001,0.0816076999999983,1.3077761673861,0.110236603718047,0.0741274362114999
sq_0.5_15.csv,0.0111024279092652,0.0127998897706939,0.290543984081355,0.0185891260416292,0.0106903721020453,0.0771999999999999,0.0882824999999983,1.34298442389689,0.117275913154619,0.0824650132898189
sq_0.5_16.csv,0.0121523072481836,0.0139609142846939,0.275608216265855,0.0203052645379821,0.0115770904320045,0.08916719999995,0.0944885999999983,1.166937411765,0.121873196215702,0.0892574325915775
sq_0.5_17.csv,0.012736601851755,0.015368020873102,0.270881083776201,0.0218873083113406,0.0125818769524043,0.0976399999999999,0.0936600000000001,1.27005262615469,0.135129038674741,0.0934444064305617
sq_0.5_18.csv,0.0132675584648979,0.0158154487995918,0.245608374851588,0.0226083013184245,0.0126736905532336,0.094494,0.0988535999999983,1.09149032930217,0.127351946718374,0.0945425957905219
sq_0.75_3.csv,0.0223897552895705,0.0217523910311963,0.575677745753938,0.0348320543939274,0.0198820489635747,0.13166,0.15175,4.17482259675304,0.177850059179102,0.131663587920123
sq_0.75_4.csv,0.0190231582687362,0.0210546277968098,0.539912874348534,0.0319309517393048,0.0174952649094143,0.114577,0.1157096,2.52249825926501,0.15872905036256,0.115025698993747
sq_0.75_5.csv,0.0185903984829877,0.0181909297150307,0.564491685333563,0.0292647277308298,0.0163644955781701,0.11798,0.12879,3.85794255857798,0.154309831520872,0.101189458443061
sq_0.75_6.csv,0.0165790730216595,0.0175445073782209,0.405370602809271,0.0272148220007548,0.0149974451399443,0.10411,0.0944894,2.20058765164871,0.127677641738873,0.0886244538713778
sq_0.75_7.csv,0.015105107102362,0.0152083474576687,0.470072886083143,0.024154645129683,0.0131936929062732,0.0892199999999999,0.11172,1.98430181356477,0.130628774213379,0.0813903666535541
sq_0.75_8.csv,0.0136599434911043,0.0149229117496933,0.47898316290419,0.023157026077532,0.0122237798960747,0.0784200000000002,0.10271,1.60705494209474,0.119261393036473,0.067909880201632
sq_0.75_9.csv,0.0140589540447853,0.0130509825319018,0.406913420851795,0.0217296068223388,0.0118897052607494,0.0819799999999999,0.09683,1.6397479138849,0.111923663522286,0.0689242436592525
sq_0.75_10.csv,0.0128022258644172,0.0125366021551534,0.343553573456246,0.0202305223227755,0.0120750201636135,0.0805199999999999,0.07839,1.35556084750001,0.0920565847726277,0.0587496591653092
sq_0.75_11.csv,0.0118570447996932,0.0111564556539877,0.413671403139837,0.0183146220464145,0.0107805664301999,0.07117,0.07623,1.66741604581177,0.0905122238154052,0.057941130283159
sq_0.75_12.csv,0.0127662966834049,0.0116913872386196,0.413926036867396,0.0196008459976691,0.0109973500126847,0.0704500000000001,0.07202,1.85352419682616,0.0823554461686657,0.0520494774229291
sq_0.75_13.csv,0.0137356991478527,0.0121473364164724,0.412537524496507,0.0207308436978933,0.0117753585418542,0.0688500000000001,0.0652699999999999,1.71017015648443,0.0837507245896372,0.0620887509940408
sq_0.75_14.csv,0.0136633334076687,0.0137874270732515,0.450940599578277,0.0216789536337252,0.0126224428217085,0.0829355999999932,0.0814299999999999,2.00190307703119,0.102183353830259,0.0727954119433361
sq_0.75_15.csv,0.0145131477107362,0.0147971268128834,0.348946140549973,0.0230205420172828,0.013987728603776,0.0898110999999932,0.0769500000000001,1.85100891210554,0.112450576699277,0.0837599677650367
sq_0.75_16.csv,0.0160810262481595,0.015083387598589,0.405432268938607,0.0243535733065147,0.0150224586552227,0.0831031999999932,0.10398,2.03208076410073,0.127809635004564,0.0851407141149286
sq_0.75_17.csv,0.0171547653782208,0.0177125801753681,0.436167164300739,0.0268663044045033,0.0168113866655633,0.0952900000000001,0.0997600000000001,1.77052553062351,0.13609626372535,0.0955593689807547
sq_0.75_18.csv,0.0184008383592024,0.0198873170098098,0.386739841219142,0.0296296889037413,0.0179441773986976,0.121025999999993,0.103752,1.87364074501321,0.152254251421753,0.10651245232366
sq_0.75_19.csv,0.0188850240441718,0.0212003577604294,0.431623289201086,0.0310490059424481,0.018296675321032,0.10962,0.12507,1.61711608097724,0.158123582681395,0.108984408517916
sq_0.75_20.csv,0.0196928229557362,0.0229886286791411,0.432317559525933,0.03303040590791,0.0196676107763933,0.1151,0.12141,1.59950908793287,0.163719368738094,0.113020492389655
sq_0.75_21.csv,0.0207581363730061,0.0258723860539877,0.464101713394634,0.0357679221792444,0.0210959674587175,0.1328,0.13043,2.07232531963072,0.172854909979439,0.121153005992423
sq_0.75_22.csv,0.0222424309953374,0.026891391091411,0.412552871311652,0.0375404915316935,0.0229565783702724,0.11073,0.15175,1.36059141694126,0.187854186538389,0.129050949337849
sq_1.0_3.csv,0.0321654558391837,0.0357461413118367,0.787683913824023,0.0531077965874641,0.0279620610498951,0.17851,0.19672,4.54955418350245,0.234462925214201,0.15418300115123
sq_1.0_4.csv,0.0310633293395918,0.0331082601444898,0.769565665323973,0.0506229738791527,0.0256788313583268,0.16759,0.16251,4.29051423474585,0.202950137758022,0.137112671840388
sq_1.0_5.csv,0.029754913707551,0.0312340697842449,0.795875246966812,0.0480280146454741,0.0252254277261822,0.15192,0.17687,5.38703513348927,0.2121880292123,0.139983248930006
sq_1.0_6.csv,0.0286510581077551,0.0278507627776326,0.636725006538403,0.0451444627680183,0.0241355464047577,0.12091,0.13931,3.77494389237533,0.170920800115872,0.118830731399752
sq_1.0_7.csv,0.0271065681755918,0.0253834680306122,0.737538812559247,0.0421098509521367,0.0230925311346379,0.11246,0.13626,4.80859413225904,0.160795379286844,0.113461351873667
sq_1.0_8.csv,0.024273984787347,0.0259112725877551,0.844542159659344,0.0397760808402316,0.0217841079855347,0.12563,0.13804,4.28799895002523,0.165203624902724,0.108556209403239
sq_1.0_9.csv,0.0222739407061224,0.0227274027497959,0.681388525840345,0.035280804707639,0.0198867572294425,0.10226,0.12911,2.987768636801,0.15246878947906,0.0940896337595166
sq_1.0_10.csv,0.0213914388244898,0.0213263839681632,0.587236694067241,0.0337964634220431,0.0187793045342631,0.0944700000000001,0.12405,2.36154295545686,0.144743611758205,0.0915691694895175
sq_1.0_11.csv,0.0202853093563265,0.0203492188028571,0.615352812690498,0.0324852003473516,0.017457037157259,0.08101,0.10145,2.45962760040531,0.114118364271488,0.0730205542364615
sq_1.0_12.csv,0.01982315232,0.0189876131608163,0.567414819009674,0.0309212012283429,0.0169877557052101,0.08809,0.092184,2.76142165983456,0.114782759837878,0.0702879835035834
sq_1.0_13.csv,0.0194064138122449,0.0187011098653061,0.562015528168631,0.0301493766882776,0.0174544772728726,0.0744832,0.09385,1.85352419682616,0.106894128482345,0.0668574529951596
sq_1.0_14.csv,0.0186572687522449,0.0183266829204081,0.492007110487161,0.0293017424173116,0.0169566938439948,0.087869,0.0980299999999998,1.77052553062351,0.112720548634044,0.0625090460333544
sq_1.0_15.csv,0.0186940765913061,0.0189193495102041,0.520482760921989,0.0295914745599992,0.017943611048794,0.0962809,0.09605,1.80825480143288,0.111939366198,0.0703169716355874
sq_1.0_16.csv,0.0198703573502041,0.0214689983918367,0.559110307198397,0.0323575139266723,0.0195187591902825,0.0800399999999999,0.0965676999999986,1.84094777322304,0.120742167792738,0.0802199382946658
sq_1.0_17.csv,0.0205961189918367,0.0229372432277551,0.654463047121099,0.0337206592947238,0.0202715491288757,0.0901399999999999,0.11794,1.9767559594029,0.139057946554665,0.087262029136389
sq_1.0_18.csv,0.0219037428546939,0.0238885221030285,0.585686607266345,0.0353978427672174,0.0211137965728814,0.128702,0.1131,2.66585229960674,0.152749984301145,0.100846329134977
sq_1.0_19.csv,0.0240379621363265,0.0249845066646449,0.575205982689543,0.0380423729190344,0.0223006100313974,0.11183,0.12187,2.42189832959594,0.16540328231326,0.111845633799447
sq_1.0_20.csv,0.0255822803897959,0.0266278390314285,0.558217173594924,0.0400683962859523,0.0257473986015096,0.1164,0.12685,1.93148656400962,0.172162372485976,0.116601382924904
sq_1.0_21.csv,0.0253866056367347,0.0291903541902041,0.533878714660604,0.0419396342818096,0.0260077198939688,0.127717,0.16268,2.29615128229858,0.194445782931901,0.125018400601671
sq_1.0_22.csv,0.026873883337551,0.0314346792261224,0.632177381702578,0.045160555205967,0.0266083703134997,0.15684,0.15745,2.68596884779379,0.197591781205596,0.134659825579124
sq_1.0_23.csv,0.0285661510534694,0.033593920572653,0.566809292796762,0.0474345066041833,0.0282909809301221,0.13763,0.15293,1.77304081534414,0.205741589864568,0.137811471946279
sq_1.0_24.csv,0.0306111155836735,0.0348466441265306,0.51764941753054,0.050063952840274,0.0297415647461211,0.175318,0.1558,1.93903241817149,0.221345466463626,0.14426115208191
sq-th_0.75_5.csv,0.0212162851447853,0.0213008174961963,0.872391580231606,0.0328823780138638,0.0212003179468938,0.115925,0.1200359,5.34283143959493,0.15023292877665,0.115959538309705
sq-th_0.75_6.csv,0.0190181085717792,0.0198859572644172,0.61355800032758,0.0299139822480345,0.0184807513012281,0.0865300000000002,0.1123861,4.47015942183117,0.141838204913944,0.0875145602799898
sq-th_0.75_7.csv,0.0171446803723926,0.0188565487553374,0.691541827241013,0.0278221367376585,0.0165248889021457,0.0803,0.0987419,3.67563884732326,0.122033406193714,0.0769234687221657
sq-th_0.75_8.csv,0.0169227788128834,0.0169528695208589,0.676652333614919,0.0260406671476918,0.0160665694628204,0.0869499999999999,0.099806,4.13297375939668,0.122379369323428,0.0714956644559653
sq-th_0.75_9.csv,0.01641812665,0.0155501135766871,0.571644244357331,0.0247635725720559,0.0155049394387429,0.0680699999999999,0.0952500000000001,3.39122259782032,0.107789772809159,0.0655984629088213
sq-th_0.75_10.csv,0.01503578170773,0.0146808179018405,0.570057620914456,0.0230340760399346,0.0144698911351138,0.0749900000000001,0.0820000000000001,2.71381459663715,0.0947725528773495,0.054237448649434
sq-th_0.75_11.csv,0.0147971666907975,0.0144249014582822,0.615554647342884,0.0221684905245718,0.0144598842048689,0.06921,0.080881,2.55613661141714,0.093965126834374,0.0563548360175061
sq-th_0.75_12.csv,0.0143253605466871,0.0140757548205521,0.614539614979895,0.0216604413236183,0.0141616183827908,0.07264,0.074395,3.06824628870507,0.0851245190529731,0.0584513815063425
sq-th_0.75_13.csv,0.0154619883103374,0.0151593921760123,0.590647694113625,0.0236227915455243,0.0146040479194825,0.0733900000000001,0.0764499999999999,2.60552557335742,0.0950504755380003,0.0672727292444717
sq-th_0.75_14.csv,0.0159984287883436,0.0148033248245399,0.5796911760699,0.0236368231010282,0.0155119573830024,0.0803499999999999,0.08117,3.70457321597736,0.107556484743641,0.0765608000219433
sq-th_0.75_15.csv,0.0175356169907975,0.0155983524509202,0.595758677654159,0.0251635038806332,0.0165249936038376,0.08867,0.0892599999999999,3.23927419055162,0.121639787472722,0.0864856716456547
sq-th_0.75_16.csv,0.0189353791742331,0.0179789376671779,0.605970643950241,0.0281383225842218,0.0181606533417319,0.0952799999999932,0.0998300000000001,3.94343932076741,0.138001113401301,0.0957857364120567
sq-th_0.75_17.csv,0.019624424506135,0.0192003212270245,0.61689809408748,0.0294206357526258,0.019051570887084,0.0982660999999932,0.1163,4.11446722261396,0.147985709107332,0.101365521598816
sq-th_0.75_18.csv,0.0214198004190184,0.0211765711461043,0.777418511680876,0.0321605023744468,0.0213581758615186,0.125544999999993,0.11598,4.22264165433466,0.1643222061226,0.107462521787831
sq-th_0.75_19.csv,0.0225644757346626,0.0220747099006135,0.794965521580344,0.0337633207667587,0.0222474860561814,0.116332999999993,0.12125,4.9695494360672,0.168032524795048,0.11633971544146
sq-th_0.75_20.csv,0.0230485932849693,0.024068490057362,0.733471912473273,0.0355478770312509,0.0229931914621243,0.142401999999993,0.11849,4.72312028838143,0.185130277383247,0.124119718417341
sq-th_0.75_21.csv,0.0242444678288344,0.0252869840200614,0.787548403829126,0.0372196218585088,0.0237210871040442,0.149614999999993,0.12496,4.66273053677464,0.194308230975937,0.129946597835419
sq-th_0.75_22.csv,0.0250217831322086,0.0278494751342331,0.856355392636266,0.0397417748194155,0.0246546910517192,0.135512,0.1388,4.91276931856973,0.18919000100692,0.131279123172727
8_r-1.0_0.75_5.csv,0.0167741462262447,0.0231228173037972,0.432625279850866,0.031970482313707,0.0244147223209145,0.05023,0.0710393,1.76047012131897,0.0714192794646516,0.046844505857144
8_r-1.0_0.75_6.csv,0.0158146817284599,0.0206099881130799,0.451068225679752,0.0290780740275711,0.0219649083297554,0.0454300000000001,0.0610851,2.10250300670026,0.0610980174121878,0.0416307578600247
8_r-1.0_0.75_7.csv,0.0142075282785654,0.019575134147679,0.50229063502517,0.0272822212347961,0.0198660212826608,0.0434099999999997,0.071277,1.98178652884415,0.0712786121733581,0.0374113719208476
8_r-1.0_0.75_8.csv,0.0132616696159494,0.0168646775343457,0.449593201923195,0.0238483284996787,0.0173569376239863,0.0372699999999999,0.0547528,1.84849362738492,0.0549609301148088,0.0309066088725372
8_r-1.0_0.75_9.csv,0.0118289512524473,0.0155481767487339,0.453832522088841,0.0217528701645265,0.0149051559145563,0.03701,0.0589136,2.13519597849043,0.0589695163543682,0.0312512099765749
8_r-1.0_0.75_10.csv,0.0118182032674262,0.0138381193164554,0.460687714043449,0.0199141728987467,0.0131437337005421,0.0370900000000001,0.0508502,1.89627830749883,0.0514635021322257,0.0246437510131878
8_r-1.0_0.75_11.csv,0.0108008845218565,0.0123754953312233,0.510901853607904,0.0180516464329037,0.0113589746369706,0.03776,0.0462726000000024,1.74789369771585,0.0467117288350605,0.0222643151253301
8_r-1.0_0.75_12.csv,0.00977924811696202,0.0110333815561179,0.409778450924978,0.0165799448362755,0.00928651662276526,0.03435,0.0428464999999825,1.61460079625661,0.0430703206425259,0.0220023947105763
8_r-1.0_0.75_13.csv,0.0103176395813502,0.0107799704919828,0.452405230044022,0.0167187352372332,0.0086448283916087,0.0349200000000001,0.0518002,2.00441836175182,0.0518295860425771,0.0217692994834469
8_r-1.0_0.75_14.csv,0.00992145446687763,0.010609886312236,0.467431263588185,0.0162781013374001,0.00830700981359462,0.0341499999999999,0.0471017,1.86357960613071,0.0471172131553894,0.0214433534923994
8_r-1.0_0.75_15.csv,0.0104500991581435,0.00997890489662418,0.409216030645664,0.0162126817552578,0.00857396332252281,0.0388500000000001,0.040953,2.0597488960276,0.0441020254070037,0.0266019921058555
8_r-1.0_0.75_16.csv,0.0107030183781435,0.0115955460316453,0.444202556055614,0.0177690542532315,0.00957806800809812,0.0364900000000001,0.043395,1.72777141995085,0.0461987045381145,0.0316785313580032
8_r-1.0_0.75_17.csv,0.0114700351429958,0.012131610240506,0.45489368161596,0.0186706974183477,0.0110407353286247,0.0357799999999999,0.047557,2.19807236692809,0.0563909572360675,0.032749858869925
8_r-1.0_0.75_18.csv,0.0123153693547257,0.0144881207109702,0.453816621627623,0.0209122773592314,0.0130447432603798,0.0345499999999999,0.046636,1.98932665342807,0.0510096681778072,0.0364783840102601
8_r-1.0_0.75_19.csv,0.0136235959794093,0.0158381306561178,0.462884252116433,0.0230047206035628,0.0151969286786904,0.0433999999999999,0.0457660000000001,1.908849001524,0.0550407006677786,0.0438617954944846
8_r-1.0_0.75_20.csv,0.0145750557948101,0.0178849151877634,0.482987950673289,0.0251803192238217,0.0172598613997396,0.043983,0.058682,2.2156736303945,0.0628339818967411,0.0444657890967875
8_r-1.0_0.75_21.csv,0.01581305689,0.0194036865147676,0.48791182745563,0.0274872414587057,0.0195761633282854,0.0530999999999999,0.0606629999999999,2.50992183566189,0.0645350123145568,0.0546533048524057
8_r-1.0_0.75_22.csv,0.0165188213479747,0.0213240873234174,0.435458579839714,0.0294718094590058,0.0215993720085231,0.04799,0.062937,2.11507943030339,0.0721160889899752,0.0552653785022775
8_r-1.0_1.0_8.csv,0.0241593684252809,0.0331933486362359,0.701750061237312,0.0456802830601486,0.0334458903399861,0.0704400000000001,0.088795,2.65830644544487,0.0889258342570982,0.0640556398765947
8_r-1.0_1.0_9.csv,0.0219992982561798,0.0312211608561797,0.73416169969327,0.0423497377389573,0.0311323538010617,0.0690600000000001,0.087173,2.30369713646045,0.0873538749641365,0.0557012486215524
