,Average,,,,,Maximum,,,,
,|e_x| (m),|e_y| (m),|e_th| (deg),|e_dist| (m),|e_traj| (m),|e_x| (m),|e_y| (m),|e_th| (deg),|e_dist| (m),|e_traj| (m)
sq_0.5_3_odo.csv,0.00690705467932644,0.0084504243284805,0.557187211636744,0.0125832165453727,0.00722695964706821,0.0603913308999999,0.0837099268699999,9.33007812502584,0.0954174223102001,0.0528189819779228
sq_0.5_4_odo.csv,0.00508666380480484,0.00532144086686655,0.400119364030123,0.00883043694113622,0.00575595476944963,0.04774989588,0.0564504155399999,7.0671574519282,0.0647038172845433,0.0373395209324578
sq_0.5_5_odo.csv,0.00418822044961768,0.00375507067439346,0.266520690378775,0.00697043729590774,0.00515022337324599,0.03671432558,0.03146128455,5.15414663461403,0.0446827090379602,0.0271252141777547
sq_0.5_6_odo.csv,0.00403547463983365,0.00346739381874041,0.223597955810554,0.00659743900861666,0.00509085592677962,0.0342253359,0.0370452303223983,4.23722956730919,0.0456095629308762,0.032211081748703
sq_0.5_7_odo.csv,0.00426297556278134,0.00373373895659405,0.200411700067803,0.00695382639499245,0.00530631296454928,0.04229355084,0.0471253602661983,3.79281850961695,0.0583531396445129,0.0402691549349146
sq_0.5_8_odo.csv,0.00459687651212605,0.00425796182222655,0.174152457101425,0.00756742733167891,0.00566651679890731,0.04942221615,0.0555615985284983,3.0444711538458,0.0695803569318214,0.0498763348569222
sq_0.5_9_odo.csv,0.00512035114752279,0.00495210008829151,0.17132979382637,0.00846463490325079,0.00614055524671085,0.0560230883999999,0.0630619915208983,2.74308894230666,0.07990250241194,0.0561048521787043
sq_0.5_10_odo.csv,0.00570384905980237,0.00569747416136709,0.170440622300479,0.00948305753246092,0.00666348824861513,0.0614547944999999,0.0700160926515983,2.68689903846019,0.0891252931309442,0.0628461878248341
sq_0.5_11_odo.csv,0.00628413231901885,0.00650112555027148,0.159758830054652,0.0105296742904876,0.00722206699313115,0.0660263248699999,0.0758630105293983,2.42127403846076,0.0969805615861527,0.0700261737387495
sq_0.5_12_odo.csv,0.00689725293851462,0.00729948816796391,0.161265988828719,0.0116004924060233,0.00777475590324363,0.06985837835,0.0802488076490983,2.33188100961435,0.103133157543684,0.0738057536205761
sq_0.5_13_odo.csv,0.00751799612375724,0.00811315243167414,0.162028694609745,0.0126885691549879,0.00834888053429815,0.0729859580400001,0.0838681308881983,2.27824519230766,0.108328446502133,0.0772783158676561
sq_0.5_14_odo.csv,0.00813537529934616,0.00894316853438963,0.15981880350071,0.013790046615762,0.00894166427894318,0.0755818296299999,0.0869711968550983,2.25781250000089,0.11271982897735,0.081282195163148
sq_0.5_15_odo.csv,0.00874196690949137,0.0097645569753173,0.15939507806678,0.0148687807488579,0.00952206493016294,0.0777056605699999,0.0893864743259983,2.18629807692148,0.116137961989501,0.0843572310944824
sq_0.5_16_odo.csv,0.00933864640693147,0.0105815797187831,0.157289488602961,0.0159330530221978,0.0101020501482836,0.0794798542399999,0.0914004278433983,2.04837740384793,0.119037990695966,0.0869993881533115
sq_0.5_17_odo.csv,0.00993791948212912,0.0114018816963112,0.154477255492451,0.0169993387017906,0.010687993695661,0.0811102607700001,0.0930581799104983,1.88236177884829,0.121621994596202,0.0893744906291734
sq_0.5_18_odo.csv,0.0105311307739746,0.0122194556473504,0.151238689406972,0.018064188130201,0.0112753674753921,0.0823926883899999,0.0944629020981983,1.74954927884857,0.123662470239694,0.0910561065976671
sq_0.75_3_odo.csv,0.0233524821019616,0.0339493826731887,2.09550196151631,0.0439792987928337,0.0232902013420847,0.11132812777,0.19091327132,26.7106370192502,0.211905959831751,0.105012758007098
sq_0.75_4_odo.csv,0.0199055741228344,0.0278102721563222,1.8863834392104,0.036872729960179,0.0195654771603932,0.0968262069500001,0.14898476814,21.8936298076921,0.16549930300941,0.0868424349930283
sq_0.75_5_odo.csv,0.0148961992813912,0.0219384009599277,2.05274104213267,0.0293885672883701,0.0145764348867483,0.08342364613,0.12477545526,17.7662259615303,0.137296624283751,0.0728900855306038
sq_0.75_6_odo.csv,0.011793419750672,0.0162556502704643,1.75673863184921,0.022851837910281,0.0112865773977366,0.07056995452,0.09481868593,12.042518028838,0.104807554896396,0.0516153447732387
sq_0.75_7_odo.csv,0.00961369812577039,0.0111327941584088,1.23364529383185,0.0170661419556684,0.0097475942670059,0.05974339813,0.06573757745,9.76938100963852,0.0749617566270461,0.0423123132734137
sq_0.75_8_odo.csv,0.00874805758073895,0.0078668548247649,0.94590702430692,0.0137739210362109,0.00924990456109306,0.05675892975,0.0483890928999999,9.16406250002619,0.0610573668169859,0.0455741640660492
sq_0.75_9_odo.csv,0.00872875477163982,0.00722798650506412,0.812504368121541,0.0132783562114147,0.0093561970495271,0.05727058005,0.05964855405,8.89588341343542,0.073440246462476,0.0559084095064298
sq_0.75_10_odo.csv,0.00909639000512329,0.00793205503750717,0.770376596433733,0.0141263687153541,0.00974477390517097,0.06519118797,0.0692553125599999,8.93419471156074,0.0862532323331863,0.0637328434744271
sq_0.75_11_odo.csv,0.00958248602746389,0.00883421781206057,0.723738624492565,0.0151913160875015,0.0102967305773349,0.0729630634,0.07856268093,8.5791766826748,0.0985311674163849,0.0714580452560293
sq_0.75_12_odo.csv,0.0105072633987002,0.0100129169304354,0.75729349821242,0.0167740963227427,0.0110803548898344,0.08017895395,0.0871069478499999,8.84480168269715,0.110031502341727,0.0795675303913642
sq_0.75_13_odo.csv,0.0116430829937876,0.0113530763984461,0.837920167294509,0.0186574850344638,0.0120200278492239,0.0860735639000001,0.09487364909,9.50375600961617,0.120084661393787,0.0870537539393032
sq_0.75_14_odo.csv,0.0125418441459449,0.0125999391861832,0.848398370828665,0.0202999772197054,0.012860161961892,0.0909846814499999,0.10162024836,9.55739182692286,0.128980342441319,0.0928474589156205
sq_0.75_15_odo.csv,0.0133592988398797,0.0138001199193898,0.838010058633828,0.0218399355131727,0.0136634232867997,0.0955095378999999,0.10756385969,9.35817307693475,0.136922544508794,0.0976878295119391
sq_0.75_16_odo.csv,0.0142109486505913,0.0150271558371577,0.82897597901109,0.0234342349887889,0.0144873255260815,0.0995148561700001,0.11288277004,9.2457932692418,0.144052926046539,0.102768400239489
sq_0.75_17_odo.csv,0.0152555277436692,0.0164012205539483,0.869399723566922,0.0252845896995417,0.015426403209053,0.10311761058,0.11754122383,9.57782451924109,0.150514673927609,0.107793496554154
sq_0.75_18_odo.csv,0.0161100168208731,0.0176830528881546,0.85229691914091,0.0269299985841074,0.0162967141476501,0.10631793369,0.12160995604,9.43734975963923,0.156260621210458,0.112862770957505
sq_0.75_19_odo.csv,0.0169803053467498,0.0190129283602986,0.835285960213985,0.0286024903367795,0.0171528242239719,0.10918597218,0.12523134991,9.23302283651426,0.161437576539217,0.117274503611907
sq_0.75_20_odo.csv,0.0177808571420242,0.0203403014234082,0.811449121961772,0.0302341933967029,0.0180039842145727,0.11180778069,0.12827463014,8.96739783654921,0.166082108699066,0.121328141563556
sq_0.75_21_odo.csv,0.0185572006822556,0.0216874758363959,0.792771264934331,0.0318524525749035,0.0188319431667352,0.11398902021,0.13096396266,8.64302884614061,0.170110646607708,0.12457544459296
sq_0.75_22_odo.csv,0.0194241318038713,0.0230877191790423,0.788898120696263,0.0335650389464148,0.0197293104700265,0.11601937342,0.13336551388,8.51277043269786,0.173691158337549,0.126738718085969
sq_1.0_3_odo.csv,0.0522832652450709,0.0822302342213993,6.95152462658437,0.101826409496646,0.0523619885192529,0.19487293148,0.347626513189,34.5746694711309,0.373091825409134,0.163209133423306
sq_1.0_4_odo.csv,0.0459765400220472,0.0723392248839889,4.26425923389932,0.089553256437019,0.046532443350175,0.1920110657,0.299193430248,36.1326622595935,0.328160738251732,0.160089736394626
sq_1.0_5_odo.csv,0.0377226907887846,0.0601930020175112,4.68272669638686,0.0746190986676647,0.040441504013703,0.16083527986,0.262909267588,36.6000600961724,0.289135106020254,0.152583186847092
sq_1.0_6_odo.csv,0.0309808801039283,0.0503294627587571,4.98997057550489,0.0622463554821585,0.034403557892729,0.13165979166,0.228796367838,34.6410757211651,0.250169996758123,0.141921304190064
